name,email,place_id
Otherside,anni@othersidelondon.com,ChIJdcYuiR4QdkgRNBa9mjsoaGI
UK weed delivery dispensary,contact@dispenseree.net,ChIJBc_FpGgfdkgROM-7NcCzjBA
Cannabis weed dispensary London,contact@strainstarzz.shop,ChIJI-1PYgkZdkgRfZL-vlTwCI4
Cannabis shop London,contact@thebitz420.net,ChIJhUcAnimbcEgRDurxLupS9NY
Cannabis Seeds UK - LSC,sales@londonseedcentre.co.uk,ChIJv-h3feMQdkgRXQ9_7w24fgE
Cannabis Spa UK,info@cannabisspa.uk,ChIJEZDXG10FdkgRxlaukrVbvtI
Aztech Genetics Cannabis seeds & Magic Mushroom Spores,shop@aztechsmokeshop.co.uk,ChIJjx3h6uQPdkgRx1Tvntqj8-o
Imperial Weed - UK,sales@imperialweed.co.uk,ChIJM1DGk1UFdkgRKQBL_zlAmbQ
Pure CBD Health's CBD Oil UK,info@purecbdhealth.com,ChIJX1GzGAcbdkgRVhxJcPz5byc
Molecule,help@moleculehealth.com,ChIJASliqw0RdkgRC0oWGdFNFrQ
Releaf Medical Cannabis Clinic,support@releaf.co.uk,ChIJ921nnxnDeUgR-fiivf0A5I4
CBDBOYZ UK,sales@cbdboyz.co.uk,ChIJgx1Pfl6A_wcRdpI9cL141N0
Walnut Creek Doap Weed Delivery,walnutcreek@dooberz.com,ChIJSR3SmcMRdkgR6eggjhooCdU
the higher heights technique cannabis cultivation manual,alex@linktr.ee,ChIJocwF3wxMXwgR9SmyY88JKaE
Welll CBD,info@welllcbd.co.uk,ChIJVQ4cpzOW_W8Ra1kv9I2eBIo
cannabis shop 420.UK,cannabisshop420uk@gmail.com,ChIJ7ZzKPdUEdkgRBs97-R7tKiI
Totally Wicked - E-cigarette & E-liquid Shop,tim@totallywicked-eliquid.co.uk,ChIJUS6Hk16le0gRlKqfRWs68p4
The Vape Suite,thevapesuite@gmail.com,ChIJxWbRzt-le0gRfMbLrn3OmTE
Ecig,sales@ecigswarehouse.com,ChIJiWXsZdyke0gRWpLI6ryK4gU
Dinner Lady Vape Store 24hour,support@vapedinnerlady.com,ChIJoYj3T5qje0gR13eiFD-3qwA
Smoke Electronic Cigarettes Ltd,info@simplyeliquid.co.uk,ChIJYUUkUS2xe0gR1L8S-F9DWEQ
FreshMist Bury Road,info@freshmist.co.uk,ChIJIXCC1n2me0gRKIkMqlfGzvY
Gourmet E-Liquid Manchester,contact@gourmeteliquid.co.uk,ChIJWfYyquu3e0gR1xIlSWVyQ2I
Wolfvapes,sales@wolfvapes.co.uk,ChIJLe4ZUpCxe0gRJQxEQ0a5wgs
Manchester VapeMan,manchestervapeman@hotmail.com,ChIJ7-dBVrmxe0gR5NYhB7zDlmQ
Crystal Clear Vapours,enquiries@crystalclearvapestore.co.uk,ChIJPbOzKz2oe0gR5VrOf_7x3YA
VAPE ALOT Ltd,vapealotltd@icloud.com,ChIJT9c2sl6xe0gRRqQVkySvVQc
VPZ,support@vpz.co.uk,ChIJYTEoEji_e0gRRhXPgSeIBdc
Fruity Vapes,info@fruityvapes.co.uk,ChIJJ_l2Lrqte0gRBntIvgcAsa8
The Electronic Cigarette Company,alistair@theelectroniccigarette.co.uk,ChIJAc-6ze-fe0gR7AL9pfNBTww
Iblaze Vape Burnage,iblazevapeburnage@gmail.com,ChIJZXtoQs2ze0gR961RW0dXVw0
"Vampire Vape Manchester, Whitworth st M1 5bd",support@vampirevape.zendesk.com,ChIJdwVT1-uxe0gR4lYCmH2k2lA
SKE Crystal Official - Flagship Vape Shop,brand@skevape.com,ChIJPeNx4rmxe0gRp1QiuUIDgKE
Vaper Market,info@vapermarket.co.uk,ChIJ-WVclz2le0gRz2bvxLJN8NY
