name,email,place_id
Doncaster Council,liza.hunter@doncaster.gov.uk,ChIJ9d81s9MNeUgRfa3wgfFQ-x0
South Yorkshire Joint Secretariat,,ChIJgbWUUitleUgRBJSmv6iduE0
Doncaster Register Office,liza.hunter@doncaster.gov.uk,ChIJNyV1Ks4NeUgRmkgaAfy2HnU
town hall,,ChIJBwHKZ5kSeUgRo0x1Y37yOx8
Business Doncaster,info@businessdoncaster.com,ChIJq_yMQNINeUgRzNexzJZqh3o
Invest in Doncaster,,ChIJp8ItytENeUgRN0bezXjbpJw
Doncaster Coroners Court and Office,liza.hunter@doncaster.gov.uk,ChIJ9d81s9MNeUgRIfyhvXh8fcE
Doncaster Metropolitan Borough Council - Fleet Dept,,ChIJx6jhXHMNeUgR8CJlvOQ2Jio
Registration Of Births Deaths & Marriages,liza.hunter@doncaster.gov.uk,ChIJq7uugL5zeUgRVyRiN_ohBCs
Doncaster Education Welfare Service,liza.hunter@doncaster.gov.uk,ChIJ9d81s9MNeUgRNd2TzkL6R3k
Doncaster Justice Centre South,,ChIJ4Xije14NeUgRUzrCIIv7KpE
Harworth and Bircotes Town Hall,ktarburton@harworthandbircotestowncouncil.org.uk,ChIJV0bcw00IeUgRZYwmgfC0F5o
Protocol - Doncaster Office (Protocol National Ltd),,ChIJqYQVYPQNeUgRTsrFYWdNJMc
Safety Management Services,,ChIJCUwHo4EaeUgR6MQTh9BcxX0
Stainforth Town Council,kirsty@stainforthtowncouncil.gov.uk,ChIJ9c0HonsQeUgR11KUGYxK7EM
"Grainger Centre, Edlington Town Council",clerk@edlingtontowncouncil.gov.uk,ChIJC4DC6JoMeUgRHBfSqexnVrg
Sprotbrough & Cusworth Parish Council,,ChIJLfHlYrANeUgR7GuDTFX6JgY
South Yorkshire Police,awais.mohammed@southyorks.police.uk,ChIJEXaVhLIbeUgRcDHM0ZdIpjw
Thorne Moorends Town Council,clerk@thorne-moorends.gov.uk,ChIJ3Ybjja0beUgRImDWRpcoGQc
Askern Town Council,admin@askerntowncouncil.gov.uk,ChIJkb9QergTeUgRFuavxSkwdaE
Town Field Pavillion,,ChIJQdyR7XcOeUgRnwz9pLMaWO0
Sf Driver Training,online@srewfix.com,ChIJPSgRuCQOeUgRfDMQAdre74g
Niled Limited,,ChIJsY2T_sMTeUgRqqfiiRAnVfI
Go local,,ChIJCRWSAKsPeUgRVliyxxVd9s8
Bennetthorpe Post Office,zeeshan.munir@postoffice.co.uk,ChIJV-QLD28PeUgRkcYZf9bAtZU
Adwick Police Station,,ChIJyW-jcVoTeUgRpEY4R8pvw6Q
Principal Resourcing Doncaster,wayne.shipley@principalresourcing.co.uk,ChIJPbr9uCYMeUgR1YQKlONJgDc
Belton Parish Council,alisonbakercliff@icloud.com,ChIJVc_fpEXweEgRWiFN1Gwj-2k
Doncaster Same Day Health Centre,dbth.pals.dbh@nhs.net,ChIJwYtpjNYNeUgRBgxJBMQJTf0
SmartER,,ChIJJ9vzCAS1ikYR00n8_15PdLY
Town Council,,ChIJLUC_x0YbeUgR9KYJropsf1w
Post Office,zeeshan.munir@postoffice.co.uk,ChIJ-3DhW64beUgRUoM1AHmdxeI
Doncaster Tourist Information Centre,tourist.information@doncaster.gov.uk,ChIJ78i_y9ENeUgRCsjfVfhgWwk
Doncaster Jobcentre,elizabeth.sidwell@gov.uk,ChIJbYzEodENeUgRktSvHz4CFGw
Environment Agency (Owston Ferry Depot),consultation.enquiries@environment-agency.gov.uk,ChIJNUWlQQj9eEgR6oUbcuELfdc
Tickhill Town Council,nick.fletcher.mp@parliament.uk,ChIJV2IvkHkJeUgRRVKCr3YE9pI
Gainsborough Town Council,townclerk@gainsborough-tc.gov.uk,ChIJ6cBVEJb_eEgRdFD2IijDPLM
South Yorkshire Mayoral Combined Authority,enquiries@southyorkshire-ca.gov.uk,ChIJ5e8io3d4eUgRDMbKa4YVlkQ
Sheffield City Council,paul.billington@sheffield.gov.uk,ChIJtb069IGCeUgR09kugBoUJJY
Crown Prosecution Service South Yorkshire,,ChIJfwqR9n54eUgRn0z9yQ_Q7Cw
Sheffield City Council First Point - Howden House,paul.billington@sheffield.gov.uk,ChIJZdFpfoGCeUgRd7tBKIiM3sM
Sheffield City Hall,e.parker@sheffieldcityhall.co.uk,ChIJH1gf6oGCeUgRVk0WOlYX23g
Sheffield Town Hall,paul.billington@sheffield.gov.uk,ChIJEY5l9IGCeUgRBXP20zR_99E
Arts Service,,ChIJ508FXoKCeUgRdxFyoaguXaI
Sheffield City Council - Moorfoot Offices,paul.billington@sheffield.gov.uk,ChIJEfOOYYeCeUgR8Qpbok288wY
Sheffield Register Office,paul.billington@sheffield.gov.uk,ChIJPcWGPYKCeUgRygRuLareJkQ
Sheffield City Council Council Tax and Housing Benefits,,ChIJifnFqoKCeUgR57T-FWQxl3g
Activity Sheffield,paul.billington@sheffield.gov.uk,ChIJK_X-qI13eUgRWP-zWnDAgGA
NADRA Online Card,,ChIJt67NMACDeUgRKBusgo9hGnk
D Company Detachment 4th Battalion the Yorkshire Regiment,,ChIJtdFO8A2CeUgR1nDE2RWAWnY
Sheffield City Council,,ChIJfxDASXqCeUgRY0GFg6nbx0w
Sheffield City Council,paul.billington@sheffield.gov.uk,ChIJ3wADqY13eUgRj8ls8hNfWqY
Sheffield City Council Streetforce,,ChIJ____ZI6CeUgRQKR6CrxsG90
Sheffield City Council,,ChIJtTJNti2deUgRpgu1cmL-Q9U
Sheffield City Council Building - Block C,,ChIJXZThbAN4eUgRHRu3l7uKl7E
Sheffield City Council (Building 5),paul.billington@sheffield.gov.uk,ChIJUxleOwh4eUgR7wBNGrF1tIk
South Yorkshire Police Headquarters,awais.mohammed@southyorks.police.uk,ChIJVVXlno13eUgRdvIXzTtkiZ8
Environment Agency,elizabeth.sidwell@gov.uk,ChIJ29Eat4eDeUgRphb1SPUm2xs
Sheffield City Council Licensing Team,paul.billington@sheffield.gov.uk,ChIJgb2DNHl5eUgRLamZY8O_0Dg
Clarke Safety,,ChIJhVGIrtGCeUgREG6MabVORpY
Registration of Births Deaths & Marriages,,ChIJ9UG684GCeUgRsb5lOgocE2c
Barnsley Town Hall,hannakenrick@barnsley.gov.uk,ChIJ04t609R6eUgRxpvYXOK3l1Q
Simon Elliott Associates,,ChIJI4wfctN-eUgRqnIQkYm2oPw
Abbey House,,ChIJ2ewDXH94eUgR8swAxIHSbXk
