name,email,place_id
28-50 Oxford Circus,oxfordcircus@2850.co.uk,ChIJL45fpsMbdkgRqCX9oFS0-j4
L'Ortolan,josie.thomson@lortolan.com,ChIJ_4x47hWDdkgRdgCC_UwGPNw
The Shurlock Inn,hello@theshurlockinn.co.uk,ChIJcyH3fwKHdkgRL7193dGmuKk
FORK,stephanie.ashfield@exclusive.co.uk,ChIJBz_5WRV5dkgRzoGzsx1Ky9U
OXBO Reading,katie_seay@hilton.com,ChIJ9UgMxoGbdkgRCQ2nEqJ12k4
The Herd Restaurant,dominic@elephanthotel.co.uk,ChIJcZtWfLOZdkgRr5iLdB-Mgvk
Miller & Carter Oracle,langdonhills@millerandcarter.co.uk,ChIJ3UivfhabdkgRziadcmjeEts
805 Restaurants - Reading,catering@805restaurants.com,ChIJm8SfG6abdkgR8MOqNXQmIVw
Nut Tree Inn,info@nuttreeinn.co.uk,ChIJFaMP1xzodkgRiKawLC1MN2s
The Fat Duck,tony@thefatduck.co.uk,ChIJ9847-dN8dkgRTNy_Eh1e5RE
Oxford Street Kitchen & Bar,reservations@chequershotelnewbury.co.uk,ChIJIYIkOx6mdkgR0g1JMFF1m_w
The Royal Oak,info@royaloakyattendon.com,ChIJV-VKfgqjdkgRcJYyZwWwsKM
Ox & Gate,contact@oxandgatecricklewood.co.uk,ChIJuXyKKP0QdkgRu5DGbCBrqBY
Kobeda Palace,info@kobedapalaceonline.com,ChIJe1PEtaebdkgRpFqrx0mngTg
The Oxen Bar and Grill,theoxen@courtyardoxfordsouth.com,ChIJt5gMRru5dkgRMzdwr3_Yhbg
The Eastbury Plough,info@eastburyplough.com,ChIJN-FRJUOtdkgRGgXHaHtTSgo
Crab & Boar,info@crabandboar.com,ChIJB_oMAqWbdkgRwwq7Ud1P67w
Caprice Restaurant at Crowne Plaza Reading East,reservations@cpreading.co.uk,ChIJU1RVLXuEdkgRuMPXR6dtMxY
The Fox at Peasemore,phil@foxatpeasemore.co.uk,ChIJoS0iMO6vdkgRnXasTXpRHU8
The Taste of England,info@thetasteofengland.com,ChIJxQe2R2SmdkgR4ThVfL-x0K4
Beau's Restaurant,nigel.green@donnington-grove.com,ChIJ7dRQBZepdkgRIUsmJ_GS8n8
Intoku Japanese & Sushi Restaurant Reading,hello@intokuwindsor.com,ChIJIQi_FFCbdkgRIlTflInVv70
Pierreponts Café,orders@pierreponts.co.uk,ChIJHaPXhFi9dkgRV6MHw8hz7fg
Bistro at The Boathouse,enquiries@shaundickens.co.uk,ChIJ-fnyb5M0cEERTXrbqQ4t2Vs
The Blue Elephant Oxford,info@blueelephantrestaurant.com,ChIJp9fkRn3BdkgRxPxoWvK6otA
GOGOS Waterfront Restaurant,waterfront@go-gos.co.uk,ChIJ51j1bhV9dkgR4gcBFVm3J8s
Heat & Eat,info@heatandeat.uk,ChIJaYdrvYqbdkgRTQiCwgHu_6c
Malmaison Bar & Grill Oxford,mcauchy@malmaison.com,ChIJoYuyxsbHdkgRbBCcYA89xXU
Rizouq,info@rizouqtakeaway.co.uk,ChIJS11Q1beEdkgRhVhov0Gxgro
The Barn Kitchen,hello@peterleymanorfarm.co.uk,ChIJh1AwqX5fdkgRYVCCH2SjoRU
Lytton Restaurant,info@no3clapham.co.uk,ChIJBflySZVodkgRwWMKtD0rc-0
The Restaurant@Oxford,sales@welcomebreak.co.uk,ChIJPeXCIcTrdkgRA2CHyvfXClM
The Three Oaks,info@thethreeoaksgx.co.uk,ChIJB3EdslJvdkgRMpJInuQmOxY
Orwells Restaurant,ryan@orwellsatshiplake.co.uk,ChIJ1Vj0_m-FdkgRxoMQ2RkxV-8
La table d'Alix at The Plough,alixrestaurant@gmail.com,ChIJTd3Q9jnrdkgRN_7oy2R2F3M
The Artichoke,reservations@artichokerestaurant.co.uk,ChIJmQxX5J1ndkgRL58ho32D3Gs
Table 13,table13oxford@gmail.com,ChIJLZUBTiPrdkgRpaJKoe3RkJE
Bombay Palace,info@thebombaypalace.co.uk,ChIJxXDLAdBhdkgRRqGwVogOsO0
Coco Tamarind,cocotamarindhp27@gmail.com,ChIJkSAtIFD0dkgRJoQexFZwiDI
Wildwood Restaurants Gerrards Cross,josh@wildwoodrestaurants.co.uk,ChIJY5v5S0VvdkgR-Qjc2UxSlg4
The Coach,contact@thecoachmarlow.co.uk,ChIJB8xzOsGJdkgRPsCKO9ErKyA
The Manor Garsington,info@manorbargarsington.co.uk,ChIJXTiPlTHBdkgRe6sprBLPeE8
The White Hart at Fyfield,info@whitehart-fyfield.com,ChIJF44XqtLJdkgRP8LdBlzGDsQ
The Oxford Kitchen,reception@theoxfordkitchen.co.uk,ChIJtXJFVhHEdkgRSM5O52OgFTk
The Lamb Chalgrove,info@lambchalgrove.co.uk,ChIJ4Z0ggNCUdkgR3FbSbMewHtk
The Folly Restaurant,restaurant@the-folly.co.uk,ChIJsxn6uLDGdkgRN5GzK71T57A
The Greyhound Pub & Dining,daniel@greyhoundbeaconsfield.co.uk,ChIJm-8xe21ndkgRGrFgF37Z4pU
The Yurt at Nicholsons,tjames@nicholsonsgb.com,ChIJuXgUXKHZdkgRiJFeoQ4kS6k
Parsonage Grill,info@parsonagegrill.co.uk,ChIJG2efvqfGdkgRVpaE7ZF-HxM
Roux at Skindles,reservations@rouxatskindles.co.uk,ChIJz51Y3U1jdkgRURnXlUMOkgk
