name,email,place_id
Consol Tanning Studio,info@consol.eu,ChIJLSrWeUsWa0gRdFrJg3ZZqMU
Golden Tanning Studio,goldentanningstudio@outlook.com,ChIJxz0HuV53a0gRXZ2rQgceRFo
Sunkissed Spray tans,taylacrane93@hotmail.com,ChIJhXNiDicOa0gRreUKgFhidjo
Bryluen Beauty,nailsbyclaire@outlook.com,ChIJyXXTWg4fa0gRvanq6vByvZ8
Executive Tanning Studio,executivetanningstudios@gmail.com,ChIJw5vBU2mDbEgRRAIms9j5Aak
Fades & Waves,fadesandwavesuk@gmail.com,ChIJg70yUp0Za0gRGYMaI44ncXw
Solis Studio,hello@solismala.com,ChIJxceTdZwZa0gRdnml6uWzoYw
"Beautique Penzance- Nails, Beauty and Make-up Salon",beautiquepz@hotmail.co.uk,ChIJsXeS9VbFakgRPbvLxQQzUCU
Paraiso Tanning Ltd.,info@paraisotanning.com,ChIJTx09NFaVeUgRgo-zzUNsoo8
Second Glance Beauty Aesthetics & Tanning,info@secondglanceaesthetics.co.uk,ChIJ_fkoDVIfa0gRowqzc6mLhEM
Fuzion Hair & Beauty,hello@fresha.com,ChIJA26JAc5ua0gRMhg3G3-UgMY
The Beauty Spot,thebeautyspotwadebridge@gmail.com,ChIJ134_lL12a0gRT7fFrIzwdJg
Beauty by Tracy beautician and body piercing,tracysmith19842011@yahoo.co.uk,ChIJe_oXoKMba0gRaCkv5IRVxKo
iBeauty,jodaden30@gmail.com,ChIJjc9d7xYba0gRuqnhxQevrvE
Bronzed Angel - Tanning Salon - Market Harborough,info@bronzedangel.com,ChIJ5YIUawRxd0gRzkFYf1tiyDQ
Blush Bude,melanie@blushbude.com,ChIJ9UbhYLN2bEgRHSiQ8qWUpFY
Beach House Tanning Ltd,enquiry@beachhousetanning.co.uk,ChIJlbg_cy1E30cRSR-2u38JMgs
Beautique UK,info@beautique-uk.com,ChIJGw3evggOa0gRgpuxVHhzwGY
Top 2 Toe Day Spa,top2toedayspa@btconnect.com,ChIJ5Ya3bhYOa0gRNOoen2q9LkM
Cornish Beauty Rooms,info@cornishbeautyrooms.com,ChIJS_mgOfLdakgR7qbxOLLoXfg
Beauty Boutique,info@beauty-boutique-newquay.co.uk,ChIJJST4AjIOa0gRz6Yj1qPwWTM
Goddess by Nature Uk,info@goddessbynature.uk,ChIJD8Jf5TIPa0gRR9wb_XZBAb8
Glo House Of Aesthetics,bookings@glohoa.com,ChIJ98BOGZcPa0gRzM79hMFEAoY
Secret Beauty Cornwall,secretbeautybychar@hotmail.com,ChIJIWHdyS4Pa0gRKxqsnvAgczQ
Nails & Beauty by Amanda Avery,amandaaverynails@gmail.com,ChIJ2TU31jYPa0gR4ZfnyQwlQ-s
Clarissa Nails Newquay,clarissanailsnewquay@gmail.com,ChIJfchgSs0Pa0gRBWseSg1uMvA
Allure Visage (Semi-Permanent Makeup),contact@allure-visage.com,ChIJ8RTfdM0Pa0gRuUtuzDVhVjw
Maximum Wax,johnsmith@maximumwax.co.uk,ChIJeUCsYdlYeUgRE42jTyY1-Y8
Susan Starkey Nails & Beauty,susanstarkey@tiscali.co.uk,ChIJ2X_yxCYOa0gRG8mZ78j9XXo
Fraser's Hair Studio + Nail Bar,contact@sansoxygen.com,ChIJw9Hze2sPa0gRn3kCaaXCx7M
Skin Radiance,claire@myskinradiance.co.uk,ChIJ_ew5xOfleUgRkVO4F7EAAus
Captivating Beauty,leah@captivatingbeauty.uk,ChIJoyrUSBIOa0gR6Z71SADd_e0
Jodie Young Colour Bar & Salon,jodie@jodieyoungcolour.co.uk,ChIJRRkhPjYPa0gR8UYO5_CLp7Y
cornwall hair and beauty academy,info@cornwallhairandbeautyacademy.co.uk,ChIJK6a0TUEPa0gR4HdK4JB1gcE
Rebel rebel hair and beauty,rebelrebelhairandbeauty@outlook.com,ChIJOSrk3lYPa0gRUJ8etJXSp_Y
Hair by Serendipity Salon Newquay,amandaandjof@aol.com,ChIJQzjIzJ4Pa0gRDZ4dODVyTMk
Cornwall Laser Hair Removal,info@cornwalllaserhairremoval.co.uk,ChIJye1FpdUPa0gRqVyGoUkq8pM
Chocolate Hairsalon,newquaychocolate@gmail.com,ChIJJ7_PrT0Oa0gRc7IhoqZVth4
Ro HAIR,hello@rohair.co.uk,ChIJ5dVOvs0Pa0gRvdFcCKxPgys
SALT Fistral Salon,aesthetics@saltfistralsalon.co.uk,ChIJu4r3AjEPa0gRRQ5_OzZGK8A
The Hair Shop,info@thehairshop.org.uk,ChIJ_UITMzwOa0gRnOMhUQ_FuWw
I-Glow Beauty,iglowbeauty@mail.com,ChIJq1y1MKLEakgRdfWWIetGpK0
Peaches & Cream,peachesandcream93@hotmail.co.uk,ChIJ0Xt9ixUOa0gRuVn5R_VWXpU
The Tanning Loft,lucyorr@hotmail.co.uk,ChIJJxjJAdlua0gRJrENJAaZ82k
Generations Hair Beauty Nails,generationshairbeauty01@gmail.com,ChIJEaGiKbISa0gRp4IvX7VyOtw
"Inkfish Hair & Beauty, Truro, Cornwall",inkfish1@inkfishhairandbeauty.co.uk,ChIJJfHCzkgWa0gR2jFl60bCieY
"Iconic Hair, Health and Beauty",hello@iconiccornwall.co.uk,ChIJwUJZlGcWa0gR27i0wsr5wks
New You Beauty,newyoubeautybykali@hotmail.com,ChIJe72ap8Vka0gRGijKcXZKQt0
Charlestown Health & Beauty,info@charlestownhealthandbeauty.co.uk,ChIJk7dccC1va0gR_8NmzYe-98M
Escape Beauty Salon,relax@escapebeautysalons.com,ChIJWROg2kgWa0gRiYjw9r7uVcI
Hendra Hair & Beauty,mail@hendrahairandbeauty.co.uk,ChIJVQufa0kWa0gR31JtW-b5djs
The Nail Salon and Beauty Centre,louise@thenailsalonandbeautycentre.com,ChIJX_1caslua0gRubgpYj7FsUI
"Aqua Advanced Skin, Hair, Body and Beauty Clinic",beauty@aquaskincare.co.uk,ChIJt6YZ5EsWa0gRDRi_rOlX9gw
Glanna Beauty & Education,glannabeautycornwall@gmail.com,ChIJe7JSHMoLa0gR7q19w2fAyqY
ZZZONE Photography Studio,jonny@zzzone.co.uk,ChIJaXqARAmOcUgRNrNbZFy7qN0
Jefferson Studios,sales@jeffersonstudios.co.uk,ChIJfy5nYi6McUgRl8d4bQ8YUbY
Future Proof Creative Photography,hello@futureproofcreative.co.uk,ChIJW3HD-HmPcUgRc96lfmtuolc
Studiowise Photography,email@studiowise.co.uk,ChIJnw5qC3mQcUgRd7Y2Dv3xWiE
Clifton Photographic Company,info@cliftonphoto.co.uk,ChIJew4Bw8KNcUgR3B_nI15fQBA
West 70 Photography,info@west70.co.uk,ChIJzSK6fwOQcUgRRukFkfKh548
Qu Studios - Bristol Film Studios,hello@qustudios.com,ChIJb0-GZZjzcUgRrVVzhnKeLE0
James Nicholas Photography,enquiries@jamesnicholasphotography.co.uk,ChIJ8RD3BPaPcUgRP4fcl37gOPA
Stokes Croft Studio,charlie@stokescroft.studio,ChIJz54KO_mPcUgRPeUAqOAq2Gg
Boys In Bristol Photography,contact@boysinbristol.co.uk,ChIJ53CjqQyPcUgRqCLNjDvkvXk
Newborn Photography by Sylvia -Newborn/Baby/Cake Smash/Pregnancy/Family Bristol Photography,slukajczyk@gmail.com,ChIJETat2RSScUgRoFgoFRAOkfY
Clare Shapcott Photography,clareshapcottphotography@gmail.com,ChIJ9TPGi-aRcUgRtc1vHGbaSUQ
Love In Focus,sandy@love-in-focus.co.uk,ChIJBT-OfD2OcUgRDK-1cV8yJGM
Femme Fatale Boudoir Photography,info@femmefatalephoto.co.uk,ChIJ8Q8Rw8KNcUgR2zpMbz6r7Sc
Dixon Road Studio,hello@dixonroad.studio,ChIJFR1xmkSPcUgRmk5jDyW2zQQ
Brunel Photography Bristol,kirsty_cropley@hotmail.co.uk,ChIJA4SRO7yOcUgRsdNcvxSvGV4
Concept Photography,hannah@conceptphotographyltd.co.uk,ChIJp0YUUK2PcUgRkhng2bS4l_Y
Photo Heads,paul@photoheads.co.uk,ChIJMV3vuMeFcUgRoxLs_h2hpUs
The Studio B,chris@thestudiob.co.uk,ChIJP7QiBUB7cUgRMAR3YuuE-fw
Photography By Fiona,photographybyfiona@live.co.uk,ChIJWxVPLTeMcUgR8952fw__1UM
Bristol Photography Lessons,marcus@marcusahmad.com,ChIJX4iHufSPcUgRFKN3WZRz_FM
BV Studios,contact@bvstudios.co.uk,ChIJk3beRICOcUgRP6MxISVX7YM
Bristol Photographic Society,bookings@bristolphoto.org.uk,ChIJCwm_igyOcUgRqhdgitGHoJg
Bristol Headshots,info@bristolheadshots.co.uk,ChIJyTXTx9IDuK4RCcCPfpC3eyM
now studio bristol,hello@nowstudiobristol.com,ChIJ28qDppOPcUgRdWFKXog75Ds
The Digital Studio Booth,hello@thedigitalstudiobooth.co.uk,ChIJ0XA7eqyRcUgRxSzjvOW4TeI
Factory Studios,sol@factorystudios.co.uk,ChIJwwK7CluOcUgRdYpZuPGqjlo
Bread & Butter Studio,info@breadandbutter.studio,ChIJ7Vgg6LePcUgRHhVfSF0Z6vk
The Old Drumbank Studios,bookings@offbeatspaces.co.uk,ChIJvU78admPcUgRboLKaSvYCik
Farm Studio - Studio Hire Bristol,nickpitt@farmstudio.co.uk,ChIJr4ogjyuNcUgRg4soUj9YDlU
Barrett & Coe Photography Studio,chris.cole@barrettandcoe.co.uk,ChIJsYTWvVOOcUgR9Tn0v-39BOs
Mendip Media,nicky@mendipmedia.co.uk,ChIJ-6EO2caNcUgRtbUY8GiXOZ4
Studio Eight Photography,adam@adamgasson.com,ChIJ1wB5_KuPcUgRUdMQ5zGgAIs
Jump Studios Bristol,info@jumpfituk.com,ChIJd8oh9GOPcUgR-ZBeXPczGQM
Bristol Boudoir Photography,morag@documentaryimage.com,ChIJ63M0IHCPcUgRCPnF8BVzKXE
The Photography Project,info@thephotographyproject.co.uk,ChIJ53UZ32aNcUgRAoEbRC0escw
Future Leap,hub@futureleap.co.uk,ChIJR-288sONcUgRkOAdMdAG7x4
In Bristol Studio,studio@inbristol.org,ChIJ50qZpVuOcUgRoLUe3fSpVOI
the Photo School Bristol,alan@zedphoto.com,ChIJBwC0wgyOcUgRCLS45ntENzw
headshotsphotography,info@headshotsphotography.uk,ChIJj8LhteTaJosR1TlGNj6z1sA
Katherine Barnes Photography,katherinebarnesphoto@gmail.com,ChIJ84k99yCPcUgR2iFlGjR-0b4
Hacker Photography,hackerphotography@me.com,ChIJNZ6XixmOcUgRmHwmIAZJi_E
Snappy Snaps,rita.skrebe@snappysnaps.co.uk,ChIJvRoi_XaOcUgRTU3-GC4hyLY
Mark Leonard Photography,info@markleonardphotography.co.uk,ChIJu1K_ssWNcUgRUynp1iH1_nM
Guy Bellingham Photography,contact@guybellinghamphotography.co.uk,ChIJuZmsZQWPcUgRme7TxO1G52U
Photographique,contact@photographique.co.uk,ChIJXRalFHiOcUgRDRfKWJqDWo4
Negative Thinking,darkroom@negative-thinking.co.uk,ChIJaafaE9WPcUgRF8tDMZ6HXCE
Tasha Park Photography,tasha@tashapark.co.uk,ChIJjbNGyg6OcUgRmoeeS6Ca1lg
CMHD Studios,cmhdvisuals@gmail.com,ChIJTRCwva6NcUgRsz1TUpuo7C0
Jana Rumley Photography,janarumley@gmail.com,ChIJT3REBjqMcUgRD5uVORHhcL0
Paris Penny - Photographer,info@parispenny.com,ChIJ5TUeVluScUgRnjeGp165W_Y
Matt Gutteridge Photography,mattjgutteridge@gmail.com,ChIJJZmXq3KOcUgR6EF3oC0-L2Y
Taphouse Wedding Photography,jonathan@taphousephotography.com,ChIJv55ZphKOcUgRHcZUdsV_V-k
Gavin Jacob Power | Photographer,gavin@gjpphotography.co.uk,ChIJBbpaKLOPcUgRj26l6myYMo0
LIVA ROOM,book@livaroom.co.uk,ChIJGxVajjeNcUgRqBvWhbkAYic
